	observed	predict
Octadecabacter_arcticus_238_strain_238	4	25.01460674
Polaromonas_vacuolata_strain_KCTC_22033	4	28.16109155
Shewanella_violacea_DSS12_strain_DSS12	4	22.53655139
Vibrio_cidicii_strain_275681	4	35.59521368
Psychromonas_ingrahamii_37_strain_37	5	22.7922549
Shewanella_benthica_strain_DB21MT2	5	24.18226381
Desulfotalea_psychrophila_LSv54_strain_LSv54	10	31.81143813
Kaistella_jeonii_strain_NCTC13459	10	28.33615942
Psychrobacter_urativorans_strain_R1010B	10	26.78095596
Paraglaciecola_psychrophila_170_strain_170	12	25.77653447
Paenibacillus_antarcticus_strain_KACC_11469	12.5	29.10483059
Pseudoalteromonas_arctica_A_3712_strain_A_3712	12.5	26.5721652
Psychroflexus_torquis_ATCC_700755_strain_ATCC_700755	12.5	25.95443662
Shewanella_psychrophila_strain_WP2	12.5	14.81347466
Pseudoalteromonas_piratica_strain_OCN003	14	26.73236216
Aliivibrio_salmonicida_strain_VS224	15	27.19171554
Hymenobacter_nivis_strain_NBRC_111535	15	28.41394977
Renibacterium_salmoninarum_ATCC_33209_strain_ATCC_33209	15	21.62171717
Renibacterium_salmoninarum_strain_H2	15	20.93245018
Shewanella_livingstonensis_strain_LMG_19866	15	22.41621864
Sulfurimonas_gotlandica_GD1_strain_GD1	15	28.14128584
Flavobacterium_faecale_strain_WV33	16	25.98737511
Cellulophaga_algicola_DSM_14237_strain_DSM_14237	17	26.77705599
Marinobacter_psychrophilus_strain_20041	17	28.75882484
Shewanella_donghaensis_strain_LT17	17	19.25370626
Flavobacterium_psychrophilum_FPG101_strain_FPG101	17.5	17.49888592
Flavobacterium_psychrophilum_FPG3_strain_FPG3	17.5	18.21440536
Flavobacterium_psychrophilum_strain_3	17.5	17.5
Flavobacterium_psychrophilum_strain_CSF25993	17.5	17.49797844
Flavobacterium_psychrophilum_strain_F164	17.5	17.55317248
Flavobacterium_psychrophilum_strain_Flavobacterium_psychrophilum_strain_5	17.5	17.5
Flavobacterium_psychrophilum_strain_FPCH6	17.5	17.5
