SampleName	Topt	Group
Octadecabacter_arcticus_238_strain_238	4	group1
Polaromonas_vacuolata_strain_KCTC_22033	4	group1
Shewanella_violacea_DSS12_strain_DSS12	4	group1
Vibrio_cidicii_strain_275681	4	group1
Psychromonas_ingrahamii_37_strain_37	5	group1
Shewanella_benthica_strain_DB21MT2	5	group1
Desulfotalea_psychrophila_LSv54_strain_LSv54	10	group1
Kaistella_jeonii_strain_NCTC13459	10	group1
Psychrobacter_urativorans_strain_R1010B	10	group1
Paraglaciecola_psychrophila_170_strain_170	12	group1
Paenibacillus_antarcticus_strain_KACC_11469	12.5	group1
Pseudoalteromonas_arctica_A_3712_strain_A_3712	12.5	group1
Psychroflexus_torquis_ATCC_700755_strain_ATCC_700755	12.5	group1
Shewanella_psychrophila_strain_WP2	12.5	group1
Pseudoalteromonas_piratica_strain_OCN003	14	group1
Aliivibrio_salmonicida_strain_VS224	15	group1
Hymenobacter_nivis_strain_NBRC_111535	15	group1
Renibacterium_salmoninarum_ATCC_33209_strain_ATCC_33209	15	group1
Renibacterium_salmoninarum_strain_H2	15	group1
Shewanella_livingstonensis_strain_LMG_19866	15	group1
Sulfurimonas_gotlandica_GD1_strain_GD1	15	group1
Flavobacterium_faecale_strain_WV33	16	group1
Cellulophaga_algicola_DSM_14237_strain_DSM_14237	17	group1
Marinobacter_psychrophilus_strain_20041	17	group1
Shewanella_donghaensis_strain_LT17	17	group1
Flavobacterium_psychrophilum_FPG101_strain_FPG101	17.5	group1
Flavobacterium_psychrophilum_FPG3_strain_FPG3	17.5	group1
Flavobacterium_psychrophilum_strain_3	17.5	group1
Flavobacterium_psychrophilum_strain_CSF25993	17.5	group1
Flavobacterium_psychrophilum_strain_F164	17.5	group1
Flavobacterium_psychrophilum_strain_Flavobacterium_psychrophilum_strain_5	17.5	group1
Flavobacterium_psychrophilum_strain_FPCH6	17.5	group1
Flavobacterium_psychrophilum_strain_FPSD10	17.5	group1
Flavobacterium_psychrophilum_strain_FPSD15	17.5	group1
Flavobacterium_psychrophilum_strain_FPSF15	17.5	group1
Flavobacterium_psychrophilum_strain_FPSF16	17.5	group1
Flavobacterium_psychrophilum_strain_FPSF21	17.5	group1
Flavobacterium_psychrophilum_strain_FPSF22	17.5	group1
Flavobacterium_psychrophilum_strain_FPSF27	17.5	group1
Flavobacterium_psychrophilum_strain_FPSF30	17.5	group1
Flavobacterium_psychrophilum_strain_FPSF32	17.5	group1
Flavobacterium_psychrophilum_strain_FPSF33	17.5	group1
Flavobacterium_psychrophilum_strain_FPSG1	17.5	group1
Flavobacterium_psychrophilum_strain_FPSR7	17.5	group1
Flavobacterium_psychrophilum_strain_FPSS10	17.5	group1
Flavobacterium_psychrophilum_strain_FPSS11A	17.5	group1
Flavobacterium_psychrophilum_strain_FPSS11B	17.5	group1
Flavobacterium_psychrophilum_strain_FPSS6	17.5	group1
Flavobacterium_psychrophilum_strain_FPSS9	17.5	group1
Flavobacterium_psychrophilum_strain_MH1	17.5	group1
Flavobacterium_psychrophilum_strain_OSU_THCO290	17.5	group1
Flavobacterium_psychrophilum_strain_PG2	17.5	group1
Flavobacterium_psychrophilum_strain_phage_resistant_V120	17.5	group1
Flavobacterium_psychrophilum_strain_phage_resistant_V220	17.5	group1
Flavobacterium_psychrophilum_strain_phage_resistant_V35	17.5	group1
Flavobacterium_psychrophilum_strain_phage_resistant_V424	17.5	group1
Flavobacterium_psychrophilum_strain_phage_resistant_V428	17.5	group1
Flavobacterium_psychrophilum_strain_phage_resistant_V433	17.5	group1
Flavobacterium_psychrophilum_strain_VQ50	17.5	group1
Trichormus_variabilis_0441_strain_0441	18	group1
Trichormus_variabilis_NIES23_strain_NIES23	18	group1
Vibrio_tapetis_subsp_tapetis_	18	group1
Carnobacterium_inhibens_subsp_gilichinskyi_strain_WN1359	20	group1
Francisella_halioticida_strain_DSM_23729	20	group1
Janthinobacterium_svalbardensis_strain_PAMC_27463	20	group1
Leisingera_methylohalidivorans_DSM_14336_strain_DSM_14336__MB2	20	group1
Lysobacter_gummosus_strain_3211	20	group1
Marinomonas_primoryensis_strain_AceL	20	group1
Massilia_violaceinigra_strain_B2	20	group1
Methyloprofundus_sedimenti_strain_WF1	20	group1
Neptunomonas_japonica_JAMM_1380_strain_JAMM_1380	20	group1
Octadecabacter_temperatus_strain_SB1	20	group1
Peribacillus_psychrosaccharolyticus_strain_FDAARGOS_1161	20	group1
Pseudoalteromonas_atlantica_T6c_strain_T6c	20	group1
Rhodoferax_saidenbachensis_strain_DSM_22694	20	group1
Roseobacter_denitrificans_strain_FDAARGOS_309	20	group1
Roseobacter_litoralis_Och_149_strain_Och_149	20	group1
Sporosarcina_psychrophila_strain_DSM_6497	20	group1
